source_id,ra,dec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,classlabel_dsc,p_gal,sep_arcsec,searched_source
841033490812198272,179.4067867797858,55.507252283399154,20.321817,18.617582,17.213497,1.4040852,galaxy,1.0,68.25368547098311,ZTF25aceekci
1584253460848878592,183.33815817975037,62.91899832763558,21.106348,19.187916,17.58046,1.6074562,galaxy,1.0,95.20329083731303,ZTF25aceemtn
19645528305047808,37.8718866840684,7.790526457679057,21.005253,19.035913,17.650644,1.3852692,galaxy,0.92059183,7.860012415384279,ZTF25acdeiid
2522996628714058752,11.854056139396956,-6.794164804564422,21.064892,18.427841,17.029444,1.3983974,galaxy,1.0,49.534044610338356,ZTF25acdabfa
2822887287024114688,356.62837039578704,19.69743537790374,20.98246,19.609955,17.956392,1.6535625,galaxy,1.0,108.61603772133458,ZTF25acczwqv
2591758638511351040,19.35995599112364,16.24571681639359,21.53091,19.845823,18.322653,1.5231705,galaxy,1.0,82.66182719272767,ZTF25acceztk
912677565398856832,133.6467021145077,41.6377272090869,20.211084,18.493324,16.97373,1.5195942,galaxy,1.0,2.436397074502055,ZTF25acbnchv
854389395994796800,160.8848095175406,57.67216101192301,19.433056,16.875061,15.358612,1.516449,galaxy,1.0,50.30205249897704,ZTF25acbepkk
381264319895421184,10.460547014923979,41.27393197838593,21.319248,19.243715,17.89959,1.3441257,galaxy,0.98367333,33.077217843224155,ZTF25acajztg
3235015413694244608,76.3347624455,2.0912305208904454,20.045235,17.4389,15.878913,1.5599871,galaxy,1.0,2.357722753915563,ZTF25acaefyx
3235015207536427392,76.33772168072959,2.0871567651808283,20.943419,19.291447,17.632744,1.6587029,galaxy,1.0,16.809108740047893,ZTF25acaefyx
1432589438254312576,256.3081138331833,56.21957476959818,19.618868,17.42077,15.902936,1.5178347,galaxy,1.0,16.426422763107933,ZTF25abzooqy
3226398850302385792,73.1943176959892,-1.4177225165071945,20.494902,19.052074,17.580332,1.4717426,galaxy,0.98367333,119.43577131074625,ZTF25abztjzq
